text,Financial_Problem,Other,Everyday_Decision_Making,Emotional_Turmoil,School,Family_Issues,Social_Relationships,Work,Health_Fatigue_Physical_Pain,neutralized_text,index
"I find myself, worrying and getting all stressed out over the littlest of things.",0,0,1,1,0,0,0,1,0,I find myself worrying and getting stressed out over the smallest of things.,782
"on my days off, I just feel like I'm wasting time.",0,1,1,1,0,0,1,0,1,"On days off, it just feels like time is being wasted.",783
bwahahaha first part of practice was really frustrating for me.,1,1,1,1,1,0,0,0,0,"Bwahahaha, the first part of practice was really frustrating.",784
"Conversation on the way home from Gville made me pretty frustrated, I don't know.",0,1,0,1,0,0,1,0,1,"Conversation on the way home from the city made me pretty frustrated, I don't know.",785
"dang well my cermaics final is over, and dude it was kinda hard!",0,1,0,0,1,0,0,0,0,"Finally, my ceramics final is over, and it was pretty challenging!",786
dude i just lost a really important entry and i'm not happy.,1,1,0,1,0,0,0,1,0,I just lost a really important entry and I'm not happy.,787
Frustrated and I've sold myself out down the road with time growing old I've got to change.,0,0,1,1,0,0,1,0,0,"Frustrated and I've compromised myself over time as things have changed, I've got to make a change.",788
Have I mentioned lately that work really sucks now?,0,0,0,0,0,0,0,1,0,Have I mentioned lately that work really sucks now?,789
I am SO sick of this past year for some reason.,1,0,1,1,1,0,0,1,0,I am SO sick of this past year for some reason.,790
"I am so so so so tired but I need to do my work that I have neglected, blah.",0,0,1,0,1,0,0,1,1,I am very tired but I need to do the work that has been neglected.,791
"i am tired, nervous, hungry, and to top it all off i have my period. today sucks.",0,1,0,1,0,0,0,0,1,"I am tired, nervous, hungry, and to top it all off, I am experiencing discomfort. Today sucks.",792
I bitch about my job and my lack of a nicer one.,1,0,0,0,0,0,0,1,0,I complain about my job and my lack of a better one.,793
I dunno it's just something I've been kind of upset about lately.,0,1,1,1,0,0,0,0,0,"I don't know, it's just something I've been kind of upset about lately.",794
i feel bad i didn't get to stay around longer on thrusday.,0,1,1,0,0,0,1,0,0,I feel bad I didn't get to stay around longer on Thursday.,795
"I feel like I did before we started going out, i'm discontent, i'm tired.",0,1,0,1,0,0,1,0,1,"I feel like I did before we started seeing each other, I'm discontent, I'm tired.",796
I feel so bad having to turn down everything that I am offered because I have to work.,0,1,0,0,0,0,0,1,0,I feel bad having to turn down everything that is offered because I have to work.,797
I have been feeling really bad about the way that things have been going on lately.,0,1,0,1,0,0,0,0,0,I have been feeling really bad about how things have been going lately.,798
I have been having some $$$ issues as of late and it has just been really stressful.,1,1,0,1,0,0,0,0,0,"I have been experiencing some financial issues recently, and it has been really stressful.",799
"I have been putting it off, which isn't good cuz i need to do well in that class",0,0,1,0,1,1,0,0,0,"I have been putting it off, which isn't good because I need to do well in that class.",800
i have been so frustrated lately and i don't kno why.,0,1,0,1,0,0,0,0,0,I have been feeling very frustrated lately and don't know why.,801
"I have felt out of balance for weeks, and really needing some kind of something to clear the fuzzy energy.",0,1,0,1,0,0,0,0,1,I have felt out of balance for weeks and really need something to clear the fuzzy energy.,802
I have procrastinated too long and I'm going to be struggling to do stuff in the fall.,1,1,1,0,1,0,1,1,0,I have procrastinated too long and will be struggling to do things in the fall.,803
I have recently been at a loss for words which is weird because i have a lot on my mind.,0,1,1,1,0,0,1,0,0,"I have recently been at a loss for words, which is unusual because I have a lot on my mind.",804
I have stress and worry about my future and I have made mistakes.,0,1,1,1,0,0,0,1,0,I have stress and worry about the future and have made mistakes.,805
"I have to work today, and I am horribly unenthused about this.",0,1,0,0,0,0,0,1,0,"I have to work today, and I am very unenthusiastic about this.",806
I just don't know what's up with me lately... I'm so torn from day to day.,0,1,1,1,0,0,0,0,0,I just don't know what's going on with me lately... I'm feeling very conflicted from day to day.,807
I should sort myself out but I just haven't been in the mood to work this year.,0,1,1,1,0,0,0,1,0,I should sort myself out but I just haven't been in the mood to work this year.,808
I think I'm getting worn out with the schedule i have.,0,1,1,0,0,0,0,1,1,I think I'm getting worn out with the schedule I have.,809
I think this because things weren't easy when I left work.,0,0,0,0,0,0,0,1,0,I think this because things weren't easy when I left work.,810
"I was getting frustrated today with it so, I stopped for a little bit.",0,1,1,1,0,0,0,1,0,"I was getting frustrated today with it, so I stopped for a little bit.",811
"i was having another ""one of those days"" and was quite frustrated with the way i was feeling.",0,1,1,1,0,0,0,1,0,"I was having another ""one of those days"" and was quite frustrated with how I was feeling.",812
I was very stressed about Nanny though.,0,1,0,0,0,1,1,1,0,I was very stressed about the caregiver though.,813
I'm a lil scared about finding all of my classes.,0,1,0,0,1,0,0,0,0,I'm a little scared about finding all of my classes.,814
i'm becoming very depressed about not getting a job.,0,0,1,1,0,0,0,1,0,I am becoming very depressed about not getting a job.,815
I'm concerned about the coming week's running plan as I haven't sorted out my schedule in detail.,0,1,1,0,1,0,0,1,0,I'm concerned about the coming week's running plan as I haven't sorted out my schedule in detail.,816
"I'm getting a little stressed over it, 'cause its one of the next ones on my schdedule...",0,0,1,1,0,0,0,1,0,I'm getting a little stressed over it because it's one of the next ones on my schedule...,817
im getting kinnda sick of updating.,0,1,1,0,0,0,0,0,0,I am getting kind of tired of updating.,818
I'm getting really nervous and concerned now about acceptances.,0,1,0,1,1,0,1,1,0,I’m feeling really nervous and concerned now about acceptances.,819
i'm having a hard time today working up the interest to do much of anything lately...someone save me from myself...,0,1,1,1,0,0,0,1,0,I'm having a hard time today finding the motivation to do much of anything lately... someone help me.,820
"I'm inevitably put into the position of not having money at school, and needing it.",1,0,0,0,1,0,0,0,0,I often find myself in the position of not having money at school and needing it.,821
"I'm just a bit stressed about work, anxious about upcoming vacation, and missing Steve.",0,0,0,1,0,1,1,1,0,"I'm just a bit stressed about work, anxious about the upcoming vacation, and missing my partner.",822
im just really worried about things lately...idk...,0,1,1,1,0,0,0,0,0,I'm just really worried about things lately... idk...,823
i'm kinda screwin myself over right now by not studying... but its so hard to get motivated right now.,0,0,0,1,1,0,0,0,0,I'm kind of messing myself up right now by not studying... but it's so hard to get motivated at the moment.,824
im more sad that i dont have a new job to start.,0,0,0,1,0,0,0,1,0,I am more sad that I do not have a new job to start.,825
I'm really really in a conundrum about my job.,0,0,1,0,0,0,0,1,0,I am really in a conundrum about my job.,826
i'm tired of thinking. what the fuck am i accomplishing in my life at this moment.,0,1,0,1,0,0,0,0,0,I'm tired of thinking. What am I accomplishing in my life at this moment?,827
I'm very stressed in general about life.,0,1,1,1,0,0,0,0,0,I am very stressed in general about life.,828
"I'm way behind, the last 2 days have been kind of crazy, I'm trying to get stuff back in order.",0,1,1,0,0,0,0,0,0,"I'm behind, the last couple of days have been kind of crazy, I'm trying to get things back in order.",829
I'm whiney right now and I'm sure its not going to get better when I get to work.,0,0,0,1,0,0,0,1,0,I'm whiny right now and I'm sure it’s not going to get better when I get to work.,830
It exhausts me when that's all I seem to deal with lately.,0,1,1,1,0,0,0,0,1,It exhausts me when that's all I seem to deal with lately.,831
"It starts where I have to work, and I didn't like that idea.",0,1,0,0,0,0,0,1,0,"It starts where I have to work, and I did not like that idea.",832
it's like life doesn't stay good for long with me.,0,1,0,1,0,0,1,0,1,It's like life doesn't stay good for long with me.,833
"It's nearing the end, so I'm becoming really anxious.",0,1,0,1,1,0,0,1,0,"It's nearing the end, so I'm becoming really anxious.",834
i've been having a serious upon serious case of artist's block lately and i most definately do NOT like it.,0,1,0,1,0,0,0,1,0,I've been experiencing a serious case of artist's block lately and I definitely do NOT like it.,835
I've been neglecting my schoolwork too much.,0,1,0,0,1,0,0,0,0,I have been neglecting my schoolwork too much.,836
I've been shaking from making an awful decision.,0,1,1,1,0,0,0,0,0,I've been shaking from making a terrible decision.,837
I've been trying to keep my head up saying that the past few days just weren't good.,0,1,1,1,0,0,0,0,0,"I've been trying to stay positive, reminding myself that the past few days just weren't good.",838
I've been upset over that...my life is LITERALLY ....,0,1,1,1,0,0,0,0,0,I've been upset over that... my life is LITERALLY ....,839
"I've been very busy lately? I dunno, I just didn't feel like typing...",0,1,1,0,0,0,0,0,0,I've been very busy lately. I just didn't feel like typing.,840
"I've spent the last couple of days second guessing myself, and beating myself up about making that decision.",0,1,1,1,0,0,0,0,1,I have spent the last couple of days second guessing myself and being hard on myself about making that decision.,841
la dee da dee daaaa i have a lot to do right now that i don't feel like doing.,0,1,1,0,0,0,0,0,0,la dee da dee daaaa i have a lot to do right now that i don't feel like doing.,842
"Late, mind you, because someone messed up my schedule.",0,1,1,0,0,0,1,1,0,"Late, mind you, because someone messed up the schedule.",843
Lately I have just been worried about choosing a job.,0,0,0,0,0,0,0,1,0,"Lately, I have just been worried about choosing a job.",844
Lately work has been really upsetting me.,0,0,0,1,0,0,0,1,0,"Lately, work has been really upsetting.",845
"Lately, again hopefully caused by my period, I have been feeling unloved.",0,0,0,1,0,0,1,0,1,"Lately, possibly due to hormonal changes, I have been feeling unloved.",846
Latley i have been pretty scared about life and where i will end up and stuff.,0,1,1,1,0,0,1,1,0,"Lately, I have been feeling pretty scared about life and where I will end up.",847
maybe that's why i'm having so much trouble quitting...,0,1,1,1,0,0,0,1,1,maybe that's why i'm having so much trouble quitting...,848
money has become such an issue of worry for me (and my parents as well).,1,0,0,0,0,1,0,0,0,Money has become such a source of worry for me (and my family as well).,849
My control has been shite over the past couple days. I need to do *something* today to get myself back.,0,1,1,1,0,0,0,0,0,My control has been poor over the past couple of days. I need to do *something* today to get back on track.,850
"my emotions are so up and down lately, i dunno what im gonna do.",0,0,0,1,0,0,0,0,0,"My emotions have been very up and down lately, and I don't know what to do.",851
My family had started arriving and things were getting hectic and out of control.,0,0,0,0,0,1,0,0,0,My family had started arriving and things were becoming hectic and out of control.,852
my head hurts. now i have to go to work.,0,1,0,0,0,0,0,1,1,My head hurts. Now I have to go to work.,853
My main report is that I just feel so confused lately.,0,0,1,1,0,0,0,0,0,My main report is that I just feel very confused lately.,854
My personal goals have changed so much that I've kinda lost track of everything.,0,1,1,1,0,0,0,0,0,My personal goals have changed so much that I have kind of lost track of everything.,855
My stepdad seems to have a problem with EVERYTHING I do these days.,0,1,0,1,0,1,1,0,0,My stepparent seems to have a problem with EVERYTHING I do these days.,856
No wonder like I feel like I'm struggling with my identity lately...,0,1,0,1,0,0,0,0,0,"No wonder, I feel like I'm struggling with my identity lately...",857
Not sure how to fix that... Definitely feeling like there's something missing from my life.,0,1,1,1,0,0,1,0,0,Not sure how to fix that... Definitely feeling like something is missing from life.,858
"On top of that, I'm really depressed feeling/stressed over work and finding a new job.",0,1,0,1,0,0,0,1,0,"On top of that, I'm feeling really depressed and stressed over work and finding a new job.",859
once i think abt the time we had in rg my heart aches.,0,1,0,1,0,0,1,0,0,"Once I think about the time we had in RG, my heart aches.",860
"Since the last time I made a post, life has been extremely challenging.",0,1,1,1,0,0,0,1,0,"Since the last time I made a post, life has been extremely challenging.",861
"So, I've been kind of upset with myself with the way I've been running my life.",0,1,1,1,0,0,0,0,0,"So, I've been kind of upset with myself about the way I've been managing my life.",862
Take into consideration my exhausting semester... but I'm still worried.,0,0,0,0,1,0,0,0,0,Take into consideration my exhausting semester... but I'm still worried.,863
That situation with work has gotten more complicated. I now have to go back in for a 're-interview'.,0,0,0,0,0,0,1,1,0,That situation with work has become more complicated. I now have to go back in for a 're-interview'.,864
The adjustment with school and work have been making me insane.,0,0,0,0,1,0,0,1,0,The adjustment with school and work has been overwhelming.,865
"Things have been getting so hectic lately, i have to give up a role.",0,1,1,1,0,0,0,0,0,"Things have been getting so hectic lately, I have to give up a role.",866
things have changed alot and i think we have been growing apart and i dont really like it,0,1,0,1,0,1,1,0,0,"Things have changed a lot, and I think we have been growing apart, which I don't really like.",867
"Ummm... once again, livejournaling has become a chore, and I feel that I haven't quite captured the essence of today.",0,1,1,1,0,0,0,0,0,"Ummm... once again, livejournaling has become a chore, and I feel that the essence of today hasn't quite been captured.",868
Very nervous about going back to work.,0,0,0,0,0,0,0,1,0,Very nervous about returning to work.,869
"We had follies rehearsal today, and needless to say, im a bit frustrated.",0,1,0,0,1,0,0,0,0,"We had follies rehearsal today, and needless to say, I am a bit frustrated.",870
We must get together asap or I shall explode. I'm having a really hard time with my eyes lately.,0,1,1,1,0,0,0,0,1,We must get together as soon as possible or I will explode. I'm having a really hard time with my eyes lately.,871
"well, unfortunately, some hard times came upon my family...",1,0,0,0,0,1,0,0,0,"Well, unfortunately, some hard times came upon my family...",872
"When commitment is already made, and prioritiys crash, leaving us bothin in a state of confusion.",0,1,1,1,0,0,1,0,0,"When commitment is already made, and priorities clash, leaving both in a state of confusion.",873
Work was going quite badly for me.,0,0,0,1,0,0,0,1,0,Work was not going well for me.,874
"Wow, it seems almost every day I find yet another reason to absolutely loathe my current residence.",1,1,1,0,0,1,1,0,0,"Wow, it seems almost every day I find yet another reason to absolutely loathe my current residence.",875
Yeah. + I've been really paranoid about how I talk lately.,0,1,1,1,0,0,0,0,1,Yeah. I've been really paranoid about how I talk lately.,876
"Life is really busy lately and you know, there just isn't enough time in the world to do everything i want!",0,1,1,1,0,0,0,0,1,"Life has been really busy lately, and there just isn't enough time to do everything I want!",877
"This has led to some extreme food bills, as I take it upon myself to eat out whenever I get hungry.",1,0,1,0,0,0,0,0,0,"This has led to some extreme food bills, as I make it a point to eat out whenever I get hungry.",878
"Every time I think about the new Castlevania, I feel angry.",0,1,0,0,0,0,0,0,0,"Every time I think about the new Castlevania, I feel angry.",879
I'm hungry and of course there is nothing in this house to eat.,0,1,1,0,0,0,0,0,1,I am hungry and there is nothing in this house to eat.,880
"I have too much work to do, and too little time.",0,0,1,0,0,0,0,1,0,I have too much work to do and too little time.,881
The problem comes when you are constantly thinking about it.,0,1,1,1,0,0,0,0,0,The problem arises when it is constantly on one's mind.,882
"I mean, I'm starving by this point and my brain is pissed at me and demands food if I refuse it sleep.",0,0,0,1,0,0,0,0,1,"I mean, I'm starving by this point and my brain is upset with me and demands food if I refuse it sleep.",883
Obviously my practice is not strong enough to maintain a momentum.,0,1,0,0,0,0,0,1,1,"Obviously, the practice is not strong enough to maintain momentum.",884
"im so stressed out, i just dont have time for extra work.",0,0,1,1,1,0,0,1,0,"I am so stressed out, I just don't have time for extra work.",885
"On top of that, we're starting our house hunt, which is stressful for more reasons than I even have space to mention.",1,1,1,0,0,1,0,1,0,"On top of that, we're starting our house hunt, which is stressful for more reasons than there is space to mention.",886
"yeh, we talked for like 10 minutes but had to go cuz i had to finish work at starbucks.",0,1,0,0,0,0,0,0,0,"Yeah, we talked for about 10 minutes but had to go because I had to finish work.",887
With all the thoughts that run through my head everyday I just can't sort out my feelings on everything.,0,0,1,1,0,0,1,0,0,"With all the thoughts that run through my head every day, I just can't sort out my feelings about everything.",888
I am pretty upset about my Thanksgiving plans that keep getting jumbled!,1,1,1,1,0,1,1,0,0,I am pretty upset about my holiday plans that keep getting jumbled!,889
The problem I have with cooking breakfast is that I always seem to burn it.,0,1,1,0,0,1,0,0,0,The problem with cooking breakfast is that it always seems to get burned.,890
i am already sick and tired of waking up in the morning.,0,1,1,1,0,0,0,0,1,I am already sick and tired of waking up in the morning.,891
i spend alot of my time at work worrying about kids like this.,0,0,0,1,0,1,0,1,0,I spend a lot of my time at work worrying about children like this.,892
"It's so odd, driving on my way to work everything that seemed to be so pain staking and huge became frivolous.",0,1,1,0,0,0,0,1,0,"It's so odd, driving on the way to work, everything that seemed to be so painstaking and huge became frivolous.",893
I don't know what I want for dinner.,0,1,0,0,0,1,0,0,0,I don't know what to have for dinner.,894
With so many lay off's everybody worried about their jobs.,0,0,0,0,0,0,0,1,0,"With so many layoffs, everyone worried about their jobs.",895
"I'm especially conflicted at this point because I don't where to go with my life, especially job related.",0,0,1,1,0,1,0,1,0,"I am especially conflicted at this point because I don't know where to go with my life, especially regarding work.",896
The constant milling over this subject has really got to end soon.,0,1,1,0,1,0,0,1,0,The constant milling over this subject really needs to end soon.,897
"No more than three hours after finally picking something to major in I'm already getting shit about it. """,0,0,0,0,1,0,1,0,0,"No more than three hours after finally choosing a major, I'm already getting criticism about it.",898
Their schedules lately had made it hard for them to get even this small amount of time together.,0,1,1,0,0,0,1,1,0,Their schedules lately had made it hard for them to find even this small amount of time together.,899
Same stress and hecticness as always.,0,1,1,0,0,1,1,1,0,Same stress and hecticness as always.,900
"However, I believe it has gone from writing to cooking. I've been making relatively complex meals and putting thought into their presentation.",0,1,1,0,0,0,0,0,0,"However, I believe it has shifted from writing to cooking. I have been preparing relatively complex meals and putting thought into their presentation.",901
i realized that i really have no self control when it comes to me finishing food.,1,0,1,1,0,0,0,0,1,I realized that I really have no self-control when it comes to finishing food.,902
i'm cleaning out my closet of a lot of shit that's accumulated over the years and i've lost all amor for.,0,1,0,1,0,0,0,0,0,I'm cleaning out my closet of a lot of things that have accumulated over time and I've lost all interest in.,903
"As usual, changing that on checks will be the hardest part.",1,1,0,0,0,0,0,0,0,"As usual, changing that on checks will be the most difficult part.",904
"pretty much for the past two weeks, i've been struggling with finding enough time for everything, and stressing out in the process.",0,1,1,1,0,0,1,0,0,"For the past two weeks, I have been struggling to find enough time for everything and have been feeling stressed in the process.",905
It has been a very hard week. I have had to admit to my own problems and I have had to set boundaries with my family.,0,1,0,1,0,1,0,0,0,It has been a very hard week. I have had to acknowledge my own problems and set boundaries with my family.,906
"My car still hasn't been fixed, it really sucks.. I've really been missing how my life used to be .. yeah",1,1,1,0,0,0,0,0,0,"My car still hasn't been fixed, it really sucks.. I've really been missing how life used to be .. yeah",907
i think im just stressed out cuz of the all the things i have to do.,0,0,1,1,0,0,0,1,0,I think I am just stressed out because of all the things I have to do.,908
"I've got lots of work, and no motivation to do it.",0,1,0,1,0,0,0,1,1,I have a lot of work and no motivation to do it.,909
"So its hard to take care of them all, since they work and fixing up their freshly built house.",0,0,1,0,0,1,0,1,0,"So it's hard to take care of them all, since they work and are fixing up their newly built house.",910
he wouldn't even start his meals until the potatoes came.,0,1,0,0,0,0,0,0,0,They wouldn't even start their meals until the potatoes came.,911
everyday life is so exhausting that i can't control it. only to pick up,1,0,1,1,0,0,0,0,1,"Everyday life is so exhausting that it feels uncontrollable, only to manage.",912
all it does is stress me out and i can't get my shit done on time.,0,1,1,0,1,0,0,1,0,"All it does is stress me out, and I can't get my work done on time.",913
I'm constantly worrying about what comes after my show closes.,0,1,0,1,0,0,0,1,0,I'm constantly worrying about what comes after my show closes.,914
its torture turning over everyday.,0,0,1,1,0,0,0,0,1,It's torture going through every day.,915
Today was such I stressed out day.,0,1,1,0,0,0,0,0,0,Today was such a stressful day.,916
"I was sooo frustrated. Because okay, it's stressful enough to be responsible for finding almost everything all week.",0,1,1,0,0,1,0,1,0,I was very frustrated. It's stressful enough to be responsible for finding almost everything all week.,917
No idea what I'm going to cook for dinner.,0,1,1,0,0,0,0,0,0,No idea what to cook for dinner.,918
After dinner I didn't know what to do.,0,1,0,1,0,0,0,0,0,"After dinner, I didn't know what to do.",919
"I'm not following my ""Whatch what I Eat "" or ""Eat Healthy"" because I didn't Work Out today and Ive been eating a little bit of junk food.",0,1,1,0,0,0,0,0,1,"I'm not following my ""Watch What I Eat"" or ""Eat Healthy"" plans because I didn't work out today and have been eating a little bit of junk food.",920
Now back to the daily grind here at work!,0,1,0,0,0,0,0,1,0,Now back to the daily routine here at work!,921
"our friends don't come through, our finances are always wanting, and our appetite is never satisfied.",1,0,0,1,0,0,1,0,0,"Our friends don't come through, our finances are always lacking, and our appetite is never satisfied.",922
One of the problems with all of this is that we have to struggle with this every day.,0,1,1,1,0,1,1,0,0,One of the problems with all of this is that it must be struggled with every day.,923
"Well, that's all for me. I need to try not to explode from eating too much this week!",0,1,0,0,0,0,0,0,1,"Well, that's all for me. I need to try not to feel overwhelmed from eating too much this week!",924
It seems like things always just shit on you whenever you do anything.,0,1,1,1,0,0,0,0,0,It seems like things always just go wrong for you whenever you do anything.,925
It's frustrating when I come home and Brett can't fully understand the choas I go through at work.,0,0,0,1,0,1,1,1,0,It's frustrating when I come home and my partner can't fully understand the chaos I go through at work.,926
"Usually whenever my friends are over for a dinner, my family always winds up fighting about something, but not tonight!",0,1,0,0,0,1,0,0,0,"Usually whenever friends are over for dinner, the family always ends up arguing about something, but not tonight!",927
i'm actually really stressed about finding an apartment because i have to be moved out by dec.,1,1,1,0,0,1,0,0,0,I am really stressed about finding an apartment because I have to be moved out by December.,928
"Moving house, getting married and becoming self employed are scary things.",0,0,0,1,0,1,1,1,0,"Moving house, entering a partnership, and becoming self-employed are challenging experiences.",929
I'm trying not to go on every day.,1,1,0,1,0,0,0,0,0,I’m trying not to go every day.,930
Work has been stessful and other stuff has been even more stressful.,0,1,1,0,1,0,1,1,0,Work has been stressful and other things have been even more stressful.,931
There are so many things I have to do and not enough time to do them.,0,1,1,0,0,0,0,1,1,There are many tasks to complete and not enough time to do them.,932
"The growing stress of day to day life is growing explicitly, especially regarding my newfound internship.",0,0,1,0,1,0,0,1,0,"The increasing stress of daily life is becoming more evident, especially concerning a new internship.",933
The plates of food aren't nearly enough to make up for the fact that I have to deal with the family for a day.,0,1,0,0,0,1,0,0,0,The plates of food aren't nearly enough to make up for the fact that I have to spend a day with the family.,934
Everytime I have to pick my classes I have major issues with finalizing anything.,0,0,0,0,1,0,0,0,0,"Every time I have to choose my classes, I have major issues with finalizing anything.",935
"i cook, but i cook for me, I'm hungry, shit.",0,1,1,0,0,0,0,0,0,"I cook, but I cook for myself, I'm hungry.",936
"I know my job is not what gives me value, but it's painful going to work every day and feeling like I haven't contributed to anything.",0,0,0,1,0,0,0,1,0,"I know my job is not what gives me value, but it's painful going to work every day and feeling like I haven't contributed to anything.",937
We're getting a bunch of work lately and tis STRESSING ME OUT.,0,0,1,0,0,0,0,1,0,We're getting a lot of work lately and it's stressing me out.,938
"oftentimes i have a lot of work I am doing and i am stressed just like Shane, i just do not say it out loud.",0,1,1,1,0,0,1,1,0,"Often, I have a lot of work to do and feel stressed, just like another person I know, but I just do not say it out loud.",939
everyday is getting harder.,0,1,1,1,0,0,0,0,0,Every day is becoming more difficult.,940
I know there is so much to do in this house but I just can't sit here and stare at these walls all day long.,0,1,1,1,0,0,0,0,0,"I know there is so much to do in this house, but I just can't sit here and stare at these walls all day long.",941
"On Friday I made coffee, read the paper, then called into work and left a voicemail for my boss saying I'd be out sick.",0,1,0,0,0,0,0,1,0,"On Friday, I made coffee, read the paper, then called into work and left a voicemail for my supervisor saying I would be out sick.",942
Hard day at work and kind of tiring.,0,0,0,0,0,0,0,1,1,Hard day at work and feeling tired.,943
"i have to clean my house, between work and this damn outfit, it's a fucking mess.",0,0,1,0,0,0,0,1,1,"I have to clean my house; between work and this outfit, it's a mess.",944
i have to take a shower yet but it's freezing in my house.,0,1,1,0,0,0,0,0,0,"I have to take a shower yet, but it's freezing in the house.",945
"I had a lot of stress at home and school, with the added stress of work, and people that didn't take me seriously, it was just a bad year.",0,0,0,0,1,0,1,1,0,"I experienced a lot of stress at home and school, along with the added pressure of work and people who didn't take me seriously; it was just a difficult year.",946
i've gotten really behind on keeping dishes washed.,0,1,1,0,0,1,0,0,1,I have fallen behind on washing the dishes.,947
It's hard to put into words the different emotions and thoughts that run through my head on a daily basis.,0,1,0,1,0,0,0,0,1,It's hard to put into words the various emotions and thoughts that run through my mind daily.,948
I spent an inordinate amount of time on trying to figure out what I want to do with the next three years of my life.,0,1,1,1,0,0,0,1,0,I spent a significant amount of time trying to figure out what to do with the next few years of my life.,949
At work the current project is finishing off and will soon be winding down.,0,1,0,0,0,0,0,1,0,"At work, the current project is finishing and will soon be winding down.",950
"Ecept on of the managers is always asking why I'm not eating and I always say something like ""I had a big breakfast"" or ""I'm going out after work"".",0,1,0,0,0,0,0,1,1,"Except one of the managers is always asking why I'm not eating, and I always say something like ""I had a big breakfast"" or ""I'm going out after work.""",951
i've been kinda down lately. and stressed. really stressed. there's just been a lot of stuff going on lately and,0,1,1,1,0,0,0,0,0,I've been feeling down lately and stressed. There's just been a lot going on recently.,952
It's gonna be hard adjusting to not seeing them every day.,0,1,0,0,0,1,1,0,0,It's going to be hard adjusting to not seeing them every day.,953
thinking too much is tiring and worrisome when you have nothing else to do but work work work. right now,0,1,0,1,0,0,0,1,1,"Thinking too much is tiring and worrisome when there is nothing else to do but work, work, work. Right now.",954
"no matter what I was doing in terms of our roaming and eating routine, I was not able to gain a complete control over it.",1,1,1,1,1,0,0,0,1,"No matter what I was doing in terms of our roaming and eating routine, I was not able to gain complete control over it.",955
I feel so stressed out in deciding what to do with my life.,0,1,1,1,0,0,1,1,0,I feel very stressed about deciding what to do with my life.,956
"it'll be three consecutive days off of work, which I desperately need.",0,1,0,0,0,0,0,1,0,"It will be three consecutive days off work, which is desperately needed.",957
Life is no fun when you have to be worried about so many things.,1,0,1,1,0,0,0,0,0,Life is no fun when there are many things to worry about.,958
work has been really exhausting lately.,0,0,0,0,0,0,0,1,1,Work has been really exhausting lately.,959
"i've been really busy at work, and having my monitor at home crap out on me has made things difficult there too.",1,1,0,0,0,1,0,1,0,"I've been really busy at work, and having my monitor at home stop working has made things difficult there too.",960
"It's annoying because mostly it hits in the middle of the workday, where I can't do a whole fuck of a lot with it. I need to find focus.",0,1,0,0,0,0,0,1,1,"It's annoying because it mostly happens in the middle of the workday, when it's hard to do much about it. I need to find focus.",961
"Because of my recent sick days, I have way too much homework and work to do.",0,0,0,1,1,0,0,1,1,"Due to recent sick days, there is a lot of homework and work to complete.",962
Got frustrated while workin on my math cuz well i am so lossed on wat we are doin in that class.,0,1,0,0,1,0,0,0,0,Got frustrated while working on my math because I am really lost on what we are doing in that class.,963
"I'm a worrywart. I mean, really. I'm due to take a placement test for the school I hope to get into.",0,1,0,0,1,0,0,0,0,I tend to worry a lot. I have a placement test coming up for the school I hope to get into.,964
"i am getting super stressed out about school, and i do not heart that.",0,0,0,0,1,0,0,0,0,"I am getting very stressed out about school, and I do not like that.",965
"School was tiring, and I had a TON of homework.",0,0,0,0,1,0,0,0,1,"School was tiring, and there was a lot of homework.",966
I'm worried now about going back to school.,0,0,0,0,1,0,0,0,0,I am worried now about going back to school.,967
School is fucking killing me.,0,0,0,0,1,0,0,0,0,School is really overwhelming me.,968
"omggggggggggggg school is stressing me out so bad, i have like a total of tests to make up its sucks the biggest dick.",0,0,0,0,1,0,0,0,0,"School is stressing me out so much, I have a total of tests to make up and it really sucks.",969
I must improve my grades.,0,0,0,0,1,0,0,0,0,I must improve my grades.,970
I officially have 2 weeks of classes before finals week.,0,1,0,0,1,0,0,0,0,I officially have 2 weeks of classes before finals week.,971
I'm burnt out on school and just feel like I'm not doing what I should be doing.,0,0,1,1,1,0,0,0,1,I'm burnt out on school and just feel like I'm not doing what I should be doing.,972
I have to write my college essays this weekend.,0,1,0,0,1,0,0,0,0,I have to write my college essays this weekend.,973
"Work, drama and I have a PoliSci essay due Monday on Parliament or something that I haven't started.",0,0,0,0,1,0,0,1,0,"Work, drama, and I have a political science essay due Monday on Parliament or something that has not been started.",974
I have been working hard lately to pull my grades up in school that I have sadly let slip.,0,0,0,1,1,0,1,0,0,I have been working hard lately to improve my grades in school that I had let slip.,975
God I am so stressed out everytime I think of homework I literally start pitying myself so much that I cry.,0,0,0,0,1,0,0,0,0,I am so stressed out every time I think of homework that I start feeling overwhelmed and end up crying.,976
"School has just been stress, stress, stress for me!",0,0,0,0,1,0,0,0,0,"School has just been stress, stress, stress for me!",977
"i can't pay attention in class, i can't pay attention with my friends.",0,0,0,1,1,0,1,0,0,"I can't pay attention in class, I can't pay attention with others.",978
thats about it ill be busy studying for finals this weekend so cya some other time.,0,1,0,0,1,0,0,0,0,"That's about it. I'll be busy studying for exams this weekend, so see you some other time.",979
the tests are really gonna be important for my grades.,0,0,0,0,1,0,0,0,0,The tests are going to be really important for the grades.,980
"I took a test today that I forgot to study for, so I doubt I did very well.",0,0,0,0,1,0,0,0,0,"I took a test today that I forgot to study for, so I doubt I did very well.",981
